0.5 0.5,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 1.0, 'random_state': 42},0.1176470588,0.5409836066
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.5409836066
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.5409836066
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},0.1176470588,0.5409836066
0.5 0.5,5,{'penalty': 'l2', 'C': 1.0, 'random_state': 42},{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},0.1176470588,0.5409836066
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.5322580645
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.5322580645
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.5322580645
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 31.622776601683793, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l1', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},0.1176470588,0.55
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.5322580645
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},{'penalty': 'l2', 'C': 0.031622776601683791, 'random_state': 42},0.1176470588,0.5546218487
0.5 0.5,5,{'penalty': 'l2', 'C': 1000.0, 'random_state': 42},{'penalty': 'l1', 'C': 1.0, 'random_state': 42},0.1176470588,0.55
