0.3 0.7,5,0.0316227766,0.001,l2,l2,0.08
0.5 0.5,5,1,0.001,l1,l1,0.0769230769
0.5 0.5,5,1000,0.001,l1,l1,0.0769230769
0.5 0.5,5,0.0316227766,0.001,l1,l2,0.0769230769
0.7 0.3,5,0.0316227766,0.001,l1,l2,0.0769230769
0.5 0.5,4,0.001,0.001,l2,l1,0.0769230769
0.5 0.5,5,1,0.001,l2,l1,0.0769230769
0.7 0.3,4,0.001,0.001,l2,l1,0.0769230769
0.7 0.3,5,0.001,1,l2,l1,0.0769230769
0.7 0.3,5,0.001,31.6227766017,l2,l1,0.0769230769
0.7 0.3,5,0.001,1000,l2,l1,0.0769230769
0.5 0.5,5,0.0316227766,0.001,l2,l2,0.0769230769
0.7 0.3,5,0.001,1,l2,l2,0.0769230769
0.7 0.3,5,0.001,31.6227766017,l2,l2,0.0769230769
0.7 0.3,5,0.001,1000,l2,l2,0.0769230769
0.7 0.3,5,0.0316227766,0.001,l2,l2,0.0769230769
0.5 0.5,3,0.001,0.001,l1,l1,0
0.5 0.5,3,0.001,0.0316227766,l1,l1,0
0.5 0.5,3,0.001,1,l1,l1,0
0.5 0.5,3,0.001,31.6227766017,l1,l1,0
0.5 0.5,3,0.001,1000,l1,l1,0
0.5 0.5,3,0.0316227766,0.001,l1,l1,0
0.5 0.5,3,0.0316227766,0.0316227766,l1,l1,0
0.5 0.5,3,0.0316227766,1,l1,l1,0
0.5 0.5,3,0.0316227766,31.6227766017,l1,l1,0
0.5 0.5,3,0.0316227766,1000,l1,l1,0
0.5 0.5,3,1,0.001,l1,l1,0
0.5 0.5,3,1,0.0316227766,l1,l1,0
0.5 0.5,3,1,1,l1,l1,0
0.5 0.5,3,1,31.6227766017,l1,l1,0
0.5 0.5,3,1,1000,l1,l1,0
0.5 0.5,3,31.6227766017,0.001,l1,l1,0
0.5 0.5,3,31.6227766017,0.0316227766,l1,l1,0
0.5 0.5,3,31.6227766017,1,l1,l1,0
0.5 0.5,3,31.6227766017,31.6227766017,l1,l1,0
0.5 0.5,3,31.6227766017,1000,l1,l1,0
0.5 0.5,3,1000,0.001,l1,l1,0
0.5 0.5,3,1000,0.0316227766,l1,l1,0
0.5 0.5,3,1000,1,l1,l1,0
0.5 0.5,3,1000,31.6227766017,l1,l1,0
0.5 0.5,3,1000,1000,l1,l1,0
0.5 0.5,4,0.001,0.0316227766,l1,l1,0
0.5 0.5,4,0.001,1,l1,l1,0
0.5 0.5,4,0.001,31.6227766017,l1,l1,0
0.5 0.5,4,0.001,1000,l1,l1,0
0.5 0.5,4,1,1,l1,l1,0
0.5 0.5,4,1,31.6227766017,l1,l1,0
0.5 0.5,4,1,1000,l1,l1,0
0.5 0.5,4,31.6227766017,31.6227766017,l1,l1,0
0.5 0.5,4,31.6227766017,1000,l1,l1,0
0.5 0.5,4,1000,31.6227766017,l1,l1,0
0.5 0.5,4,1000,1000,l1,l1,0
0.7 0.3,3,0.001,0.001,l1,l1,0
0.7 0.3,3,0.001,0.0316227766,l1,l1,0
0.7 0.3,3,0.001,1,l1,l1,0
0.7 0.3,3,0.001,31.6227766017,l1,l1,0
0.7 0.3,3,0.001,1000,l1,l1,0
0.7 0.3,3,0.0316227766,0.001,l1,l1,0
0.7 0.3,3,0.0316227766,0.0316227766,l1,l1,0
0.7 0.3,3,0.0316227766,1,l1,l1,0
0.7 0.3,3,0.0316227766,31.6227766017,l1,l1,0
0.7 0.3,3,0.0316227766,1000,l1,l1,0
0.7 0.3,3,1,0.001,l1,l1,0
0.7 0.3,3,1,0.0316227766,l1,l1,0
0.7 0.3,3,1,1,l1,l1,0
0.7 0.3,3,1,31.6227766017,l1,l1,0
0.7 0.3,3,1,1000,l1,l1,0
0.7 0.3,3,31.6227766017,0.001,l1,l1,0
0.7 0.3,3,31.6227766017,0.0316227766,l1,l1,0
0.7 0.3,3,31.6227766017,1,l1,l1,0
0.7 0.3,3,31.6227766017,31.6227766017,l1,l1,0
0.7 0.3,3,31.6227766017,1000,l1,l1,0
0.7 0.3,3,1000,0.001,l1,l1,0
0.7 0.3,3,1000,0.0316227766,l1,l1,0
0.7 0.3,3,1000,1,l1,l1,0
0.7 0.3,3,1000,31.6227766017,l1,l1,0
0.7 0.3,3,1000,1000,l1,l1,0
0.7 0.3,4,0.001,0.0316227766,l1,l1,0
0.7 0.3,4,0.001,1,l1,l1,0
0.7 0.3,4,0.001,31.6227766017,l1,l1,0
0.7 0.3,4,0.001,1000,l1,l1,0
0.3 0.7,3,0.001,0.001,l1,l1,0
0.3 0.7,3,0.001,0.0316227766,l1,l1,0
0.3 0.7,3,0.001,1,l1,l1,0
0.3 0.7,3,0.001,31.6227766017,l1,l1,0
0.3 0.7,3,0.001,1000,l1,l1,0
0.3 0.7,3,0.0316227766,0.001,l1,l1,0
0.3 0.7,3,0.0316227766,0.0316227766,l1,l1,0
0.3 0.7,3,0.0316227766,1,l1,l1,0
0.3 0.7,3,0.0316227766,31.6227766017,l1,l1,0
0.3 0.7,3,0.0316227766,1000,l1,l1,0
0.3 0.7,3,1,0.001,l1,l1,0
0.3 0.7,3,1,0.0316227766,l1,l1,0
0.3 0.7,3,1,1,l1,l1,0
0.3 0.7,3,1,31.6227766017,l1,l1,0
0.3 0.7,3,1,1000,l1,l1,0
0.3 0.7,3,31.6227766017,0.001,l1,l1,0
0.3 0.7,3,31.6227766017,0.0316227766,l1,l1,0
0.3 0.7,3,31.6227766017,1,l1,l1,0
0.3 0.7,3,31.6227766017,31.6227766017,l1,l1,0
0.3 0.7,3,31.6227766017,1000,l1,l1,0
0.3 0.7,3,1000,0.001,l1,l1,0
0.3 0.7,3,1000,0.0316227766,l1,l1,0
0.3 0.7,3,1000,1,l1,l1,0
0.3 0.7,3,1000,31.6227766017,l1,l1,0
0.3 0.7,3,1000,1000,l1,l1,0
0.3 0.7,4,0.001,0.001,l1,l1,0
0.3 0.7,4,0.001,0.0316227766,l1,l1,0
0.3 0.7,4,0.001,1,l1,l1,0
0.3 0.7,4,0.001,31.6227766017,l1,l1,0
0.3 0.7,4,0.001,1000,l1,l1,0
0.3 0.7,4,0.0316227766,1,l1,l1,0
0.3 0.7,4,0.0316227766,31.6227766017,l1,l1,0
0.3 0.7,4,0.0316227766,1000,l1,l1,0
0.3 0.7,4,1,0.0316227766,l1,l1,0
0.3 0.7,4,1,1,l1,l1,0
0.3 0.7,4,1,31.6227766017,l1,l1,0
0.3 0.7,4,1,1000,l1,l1,0
0.3 0.7,4,31.6227766017,0.0316227766,l1,l1,0
0.3 0.7,4,31.6227766017,1,l1,l1,0
0.3 0.7,4,31.6227766017,31.6227766017,l1,l1,0
0.3 0.7,4,31.6227766017,1000,l1,l1,0
0.3 0.7,4,1000,0.0316227766,l1,l1,0
0.3 0.7,4,1000,1,l1,l1,0
0.3 0.7,4,1000,31.6227766017,l1,l1,0
0.3 0.7,4,1000,1000,l1,l1,0
0.5 0.5,3,0.001,0.001,l1,l2,0
0.5 0.5,3,0.001,0.0316227766,l1,l2,0
0.5 0.5,3,0.001,1,l1,l2,0
0.5 0.5,3,0.001,31.6227766017,l1,l2,0
0.5 0.5,3,0.001,1000,l1,l2,0
0.5 0.5,3,0.0316227766,0.001,l1,l2,0
0.5 0.5,3,0.0316227766,0.0316227766,l1,l2,0
0.5 0.5,3,0.0316227766,1,l1,l2,0
0.5 0.5,3,0.0316227766,31.6227766017,l1,l2,0
0.5 0.5,3,0.0316227766,1000,l1,l2,0
0.5 0.5,3,1,0.001,l1,l2,0
0.5 0.5,3,1,0.0316227766,l1,l2,0
0.5 0.5,3,1,1,l1,l2,0
0.5 0.5,3,1,31.6227766017,l1,l2,0
0.5 0.5,3,1,1000,l1,l2,0
0.5 0.5,3,31.6227766017,0.001,l1,l2,0
0.5 0.5,3,31.6227766017,0.0316227766,l1,l2,0
0.5 0.5,3,31.6227766017,1,l1,l2,0
0.5 0.5,3,31.6227766017,31.6227766017,l1,l2,0
0.5 0.5,3,31.6227766017,1000,l1,l2,0
0.5 0.5,3,1000,0.001,l1,l2,0
0.5 0.5,3,1000,0.0316227766,l1,l2,0
0.5 0.5,3,1000,1,l1,l2,0
0.5 0.5,3,1000,31.6227766017,l1,l2,0
0.5 0.5,3,1000,1000,l1,l2,0
0.5 0.5,4,0.001,1,l1,l2,0
0.5 0.5,4,0.001,31.6227766017,l1,l2,0
0.5 0.5,4,0.001,1000,l1,l2,0
0.5 0.5,4,1,1,l1,l2,0
0.5 0.5,4,1,31.6227766017,l1,l2,0
0.5 0.5,4,1,1000,l1,l2,0
0.5 0.5,4,31.6227766017,31.6227766017,l1,l2,0
0.5 0.5,4,31.6227766017,1000,l1,l2,0
0.5 0.5,4,1000,31.6227766017,l1,l2,0
0.5 0.5,4,1000,1000,l1,l2,0
0.7 0.3,3,0.001,0.001,l1,l2,0
0.7 0.3,3,0.001,0.0316227766,l1,l2,0
0.7 0.3,3,0.001,1,l1,l2,0
0.7 0.3,3,0.001,31.6227766017,l1,l2,0
0.7 0.3,3,0.001,1000,l1,l2,0
0.7 0.3,3,0.0316227766,0.001,l1,l2,0
0.7 0.3,3,0.0316227766,0.0316227766,l1,l2,0
0.7 0.3,3,0.0316227766,1,l1,l2,0
0.7 0.3,3,0.0316227766,31.6227766017,l1,l2,0
0.7 0.3,3,0.0316227766,1000,l1,l2,0
0.7 0.3,3,1,0.001,l1,l2,0
0.7 0.3,3,1,0.0316227766,l1,l2,0
0.7 0.3,3,1,1,l1,l2,0
0.7 0.3,3,1,31.6227766017,l1,l2,0
0.7 0.3,3,1,1000,l1,l2,0
0.7 0.3,3,31.6227766017,0.001,l1,l2,0
0.7 0.3,3,31.6227766017,0.0316227766,l1,l2,0
0.7 0.3,3,31.6227766017,1,l1,l2,0
0.7 0.3,3,31.6227766017,31.6227766017,l1,l2,0
0.7 0.3,3,31.6227766017,1000,l1,l2,0
0.7 0.3,3,1000,0.001,l1,l2,0
0.7 0.3,3,1000,0.0316227766,l1,l2,0
0.7 0.3,3,1000,1,l1,l2,0
0.7 0.3,3,1000,31.6227766017,l1,l2,0
0.7 0.3,3,1000,1000,l1,l2,0
0.7 0.3,4,0.001,1,l1,l2,0
0.7 0.3,4,0.001,31.6227766017,l1,l2,0
0.7 0.3,4,0.001,1000,l1,l2,0
0.3 0.7,3,0.001,0.001,l1,l2,0
0.3 0.7,3,0.001,0.0316227766,l1,l2,0
0.3 0.7,3,0.001,1,l1,l2,0
0.3 0.7,3,0.001,31.6227766017,l1,l2,0
0.3 0.7,3,0.001,1000,l1,l2,0
0.3 0.7,3,0.0316227766,0.001,l1,l2,0
0.3 0.7,3,0.0316227766,0.0316227766,l1,l2,0
0.3 0.7,3,0.0316227766,1,l1,l2,0
0.3 0.7,3,0.0316227766,31.6227766017,l1,l2,0
0.3 0.7,3,0.0316227766,1000,l1,l2,0
0.3 0.7,3,1,0.001,l1,l2,0
0.3 0.7,3,1,0.0316227766,l1,l2,0
0.3 0.7,3,1,1,l1,l2,0
0.3 0.7,3,1,31.6227766017,l1,l2,0
0.3 0.7,3,1,1000,l1,l2,0
0.3 0.7,3,31.6227766017,0.001,l1,l2,0
0.3 0.7,3,31.6227766017,0.0316227766,l1,l2,0
0.3 0.7,3,31.6227766017,1,l1,l2,0
0.3 0.7,3,31.6227766017,31.6227766017,l1,l2,0
0.3 0.7,3,31.6227766017,1000,l1,l2,0
0.3 0.7,3,1000,0.001,l1,l2,0
0.3 0.7,3,1000,0.0316227766,l1,l2,0
0.3 0.7,3,1000,1,l1,l2,0
0.3 0.7,3,1000,31.6227766017,l1,l2,0
0.3 0.7,3,1000,1000,l1,l2,0
0.3 0.7,4,0.001,1,l1,l2,0
0.3 0.7,4,0.001,31.6227766017,l1,l2,0
0.3 0.7,4,0.001,1000,l1,l2,0
0.3 0.7,4,0.0316227766,0.0316227766,l1,l2,0
0.3 0.7,4,0.0316227766,1,l1,l2,0
0.3 0.7,4,0.0316227766,31.6227766017,l1,l2,0
0.3 0.7,4,0.0316227766,1000,l1,l2,0
0.3 0.7,4,1,0.0316227766,l1,l2,0
0.3 0.7,4,1,1,l1,l2,0
0.3 0.7,4,1,31.6227766017,l1,l2,0
0.3 0.7,4,1,1000,l1,l2,0
0.3 0.7,4,31.6227766017,0.0316227766,l1,l2,0
0.3 0.7,4,31.6227766017,1,l1,l2,0
0.3 0.7,4,31.6227766017,31.6227766017,l1,l2,0
0.3 0.7,4,31.6227766017,1000,l1,l2,0
0.3 0.7,4,1000,0.0316227766,l1,l2,0
0.3 0.7,4,1000,1,l1,l2,0
0.3 0.7,4,1000,31.6227766017,l1,l2,0
0.3 0.7,4,1000,1000,l1,l2,0
0.5 0.5,3,0.001,0.001,l2,l1,0
0.5 0.5,3,0.001,0.0316227766,l2,l1,0
0.5 0.5,3,0.001,1,l2,l1,0
0.5 0.5,3,0.001,31.6227766017,l2,l1,0
0.5 0.5,3,0.001,1000,l2,l1,0
0.5 0.5,3,0.0316227766,0.001,l2,l1,0
0.5 0.5,3,0.0316227766,0.0316227766,l2,l1,0
0.5 0.5,3,0.0316227766,1,l2,l1,0
0.5 0.5,3,0.0316227766,31.6227766017,l2,l1,0
0.5 0.5,3,0.0316227766,1000,l2,l1,0
0.5 0.5,3,1,0.001,l2,l1,0
0.5 0.5,3,1,0.0316227766,l2,l1,0
0.5 0.5,3,1,1,l2,l1,0
0.5 0.5,3,1,31.6227766017,l2,l1,0
0.5 0.5,3,1,1000,l2,l1,0
0.5 0.5,3,31.6227766017,0.001,l2,l1,0
0.5 0.5,3,31.6227766017,0.0316227766,l2,l1,0
0.5 0.5,3,31.6227766017,1,l2,l1,0
0.5 0.5,3,31.6227766017,31.6227766017,l2,l1,0
0.5 0.5,3,31.6227766017,1000,l2,l1,0
0.5 0.5,3,1000,0.001,l2,l1,0
0.5 0.5,3,1000,0.0316227766,l2,l1,0
0.5 0.5,3,1000,1,l2,l1,0
0.5 0.5,3,1000,31.6227766017,l2,l1,0
0.5 0.5,3,1000,1000,l2,l1,0
0.5 0.5,4,0.0316227766,0.0316227766,l2,l1,0
0.5 0.5,4,0.0316227766,1,l2,l1,0
0.5 0.5,4,0.0316227766,31.6227766017,l2,l1,0
0.5 0.5,4,0.0316227766,1000,l2,l1,0
0.5 0.5,4,1,1,l2,l1,0
0.5 0.5,4,1,31.6227766017,l2,l1,0
0.5 0.5,4,1,1000,l2,l1,0
0.5 0.5,4,31.6227766017,31.6227766017,l2,l1,0
0.5 0.5,4,31.6227766017,1000,l2,l1,0
0.5 0.5,4,1000,31.6227766017,l2,l1,0
0.5 0.5,4,1000,1000,l2,l1,0
0.7 0.3,3,0.001,0.001,l2,l1,0
0.7 0.3,3,0.001,0.0316227766,l2,l1,0
0.7 0.3,3,0.001,1,l2,l1,0
0.7 0.3,3,0.001,31.6227766017,l2,l1,0
0.7 0.3,3,0.001,1000,l2,l1,0
0.7 0.3,3,0.0316227766,0.001,l2,l1,0
0.7 0.3,3,0.0316227766,0.0316227766,l2,l1,0
0.7 0.3,3,0.0316227766,1,l2,l1,0
0.7 0.3,3,0.0316227766,31.6227766017,l2,l1,0
0.7 0.3,3,0.0316227766,1000,l2,l1,0
0.7 0.3,3,1,0.001,l2,l1,0
0.7 0.3,3,1,0.0316227766,l2,l1,0
0.7 0.3,3,1,1,l2,l1,0
0.7 0.3,3,1,31.6227766017,l2,l1,0
0.7 0.3,3,1,1000,l2,l1,0
0.7 0.3,3,31.6227766017,0.001,l2,l1,0
0.7 0.3,3,31.6227766017,0.0316227766,l2,l1,0
0.7 0.3,3,31.6227766017,1,l2,l1,0
0.7 0.3,3,31.6227766017,31.6227766017,l2,l1,0
0.7 0.3,3,31.6227766017,1000,l2,l1,0
0.7 0.3,3,1000,0.001,l2,l1,0
0.7 0.3,3,1000,0.0316227766,l2,l1,0
0.7 0.3,3,1000,1,l2,l1,0
0.7 0.3,3,1000,31.6227766017,l2,l1,0
0.7 0.3,3,1000,1000,l2,l1,0
0.7 0.3,4,0.0316227766,1,l2,l1,0
0.7 0.3,4,0.0316227766,31.6227766017,l2,l1,0
0.7 0.3,4,0.0316227766,1000,l2,l1,0
0.3 0.7,3,0.001,0.001,l2,l1,0
0.3 0.7,3,0.001,0.0316227766,l2,l1,0
0.3 0.7,3,0.001,1,l2,l1,0
0.3 0.7,3,0.001,31.6227766017,l2,l1,0
0.3 0.7,3,0.001,1000,l2,l1,0
0.3 0.7,3,0.0316227766,0.001,l2,l1,0
0.3 0.7,3,0.0316227766,0.0316227766,l2,l1,0
0.3 0.7,3,0.0316227766,1,l2,l1,0
0.3 0.7,3,0.0316227766,31.6227766017,l2,l1,0
0.3 0.7,3,0.0316227766,1000,l2,l1,0
0.3 0.7,3,1,0.001,l2,l1,0
0.3 0.7,3,1,0.0316227766,l2,l1,0
0.3 0.7,3,1,1,l2,l1,0
0.3 0.7,3,1,31.6227766017,l2,l1,0
0.3 0.7,3,1,1000,l2,l1,0
0.3 0.7,3,31.6227766017,0.001,l2,l1,0
0.3 0.7,3,31.6227766017,0.0316227766,l2,l1,0
0.3 0.7,3,31.6227766017,1,l2,l1,0
0.3 0.7,3,31.6227766017,31.6227766017,l2,l1,0
0.3 0.7,3,31.6227766017,1000,l2,l1,0
0.3 0.7,3,1000,0.001,l2,l1,0
0.3 0.7,3,1000,0.0316227766,l2,l1,0
0.3 0.7,3,1000,1,l2,l1,0
0.3 0.7,3,1000,31.6227766017,l2,l1,0
0.3 0.7,3,1000,1000,l2,l1,0
0.3 0.7,4,0.001,1,l2,l1,0
0.3 0.7,4,0.001,31.6227766017,l2,l1,0
0.3 0.7,4,0.001,1000,l2,l1,0
0.3 0.7,4,0.0316227766,0.001,l2,l1,0
0.3 0.7,4,0.0316227766,0.0316227766,l2,l1,0
0.3 0.7,4,0.0316227766,1,l2,l1,0
0.3 0.7,4,0.0316227766,31.6227766017,l2,l1,0
0.3 0.7,4,0.0316227766,1000,l2,l1,0
0.3 0.7,4,1,0.0316227766,l2,l1,0
0.3 0.7,4,1,1,l2,l1,0
0.3 0.7,4,1,31.6227766017,l2,l1,0
0.3 0.7,4,1,1000,l2,l1,0
0.3 0.7,4,31.6227766017,0.0316227766,l2,l1,0
0.3 0.7,4,31.6227766017,1,l2,l1,0
0.3 0.7,4,31.6227766017,31.6227766017,l2,l1,0
0.3 0.7,4,31.6227766017,1000,l2,l1,0
0.3 0.7,4,1000,0.0316227766,l2,l1,0
0.3 0.7,4,1000,1,l2,l1,0
0.3 0.7,4,1000,31.6227766017,l2,l1,0
0.3 0.7,4,1000,1000,l2,l1,0
0.5 0.5,3,0.001,0.001,l2,l2,0
0.5 0.5,3,0.001,0.0316227766,l2,l2,0
0.5 0.5,3,0.001,1,l2,l2,0
0.5 0.5,3,0.001,31.6227766017,l2,l2,0
0.5 0.5,3,0.001,1000,l2,l2,0
0.5 0.5,3,0.0316227766,0.001,l2,l2,0
0.5 0.5,3,0.0316227766,0.0316227766,l2,l2,0
0.5 0.5,3,0.0316227766,1,l2,l2,0
0.5 0.5,3,0.0316227766,31.6227766017,l2,l2,0
0.5 0.5,3,0.0316227766,1000,l2,l2,0
0.5 0.5,3,1,0.001,l2,l2,0
0.5 0.5,3,1,0.0316227766,l2,l2,0
0.5 0.5,3,1,1,l2,l2,0
0.5 0.5,3,1,31.6227766017,l2,l2,0
0.5 0.5,3,1,1000,l2,l2,0
0.5 0.5,3,31.6227766017,0.001,l2,l2,0
0.5 0.5,3,31.6227766017,0.0316227766,l2,l2,0
0.5 0.5,3,31.6227766017,1,l2,l2,0
0.5 0.5,3,31.6227766017,31.6227766017,l2,l2,0
0.5 0.5,3,31.6227766017,1000,l2,l2,0
0.5 0.5,3,1000,0.001,l2,l2,0
0.5 0.5,3,1000,0.0316227766,l2,l2,0
0.5 0.5,3,1000,1,l2,l2,0
0.5 0.5,3,1000,31.6227766017,l2,l2,0
0.5 0.5,3,1000,1000,l2,l2,0
0.5 0.5,4,0.0316227766,0.0316227766,l2,l2,0
0.5 0.5,4,0.0316227766,1,l2,l2,0
0.5 0.5,4,0.0316227766,31.6227766017,l2,l2,0
0.5 0.5,4,0.0316227766,1000,l2,l2,0
0.5 0.5,4,1,1,l2,l2,0
0.5 0.5,4,1,31.6227766017,l2,l2,0
0.5 0.5,4,1,1000,l2,l2,0
0.5 0.5,4,31.6227766017,31.6227766017,l2,l2,0
0.5 0.5,4,31.6227766017,1000,l2,l2,0
0.5 0.5,4,1000,31.6227766017,l2,l2,0
0.5 0.5,4,1000,1000,l2,l2,0
0.7 0.3,3,0.001,0.001,l2,l2,0
0.7 0.3,3,0.001,0.0316227766,l2,l2,0
0.7 0.3,3,0.001,1,l2,l2,0
0.7 0.3,3,0.001,31.6227766017,l2,l2,0
0.7 0.3,3,0.001,1000,l2,l2,0
0.7 0.3,3,0.0316227766,0.001,l2,l2,0
0.7 0.3,3,0.0316227766,0.0316227766,l2,l2,0
0.7 0.3,3,0.0316227766,1,l2,l2,0
0.7 0.3,3,0.0316227766,31.6227766017,l2,l2,0
0.7 0.3,3,0.0316227766,1000,l2,l2,0
0.7 0.3,3,1,0.001,l2,l2,0
0.7 0.3,3,1,0.0316227766,l2,l2,0
0.7 0.3,3,1,1,l2,l2,0
0.7 0.3,3,1,31.6227766017,l2,l2,0
0.7 0.3,3,1,1000,l2,l2,0
0.7 0.3,3,31.6227766017,0.001,l2,l2,0
0.7 0.3,3,31.6227766017,0.0316227766,l2,l2,0
0.7 0.3,3,31.6227766017,1,l2,l2,0
0.7 0.3,3,31.6227766017,31.6227766017,l2,l2,0
0.7 0.3,3,31.6227766017,1000,l2,l2,0
0.7 0.3,3,1000,0.001,l2,l2,0
0.7 0.3,3,1000,0.0316227766,l2,l2,0
0.7 0.3,3,1000,1,l2,l2,0
0.7 0.3,3,1000,31.6227766017,l2,l2,0
0.7 0.3,3,1000,1000,l2,l2,0
0.7 0.3,4,0.0316227766,0.0316227766,l2,l2,0
0.7 0.3,4,0.0316227766,1,l2,l2,0
0.7 0.3,4,0.0316227766,31.6227766017,l2,l2,0
0.7 0.3,4,0.0316227766,1000,l2,l2,0
0.3 0.7,3,0.001,0.001,l2,l2,0
0.3 0.7,3,0.001,0.0316227766,l2,l2,0
0.3 0.7,3,0.001,1,l2,l2,0
0.3 0.7,3,0.001,31.6227766017,l2,l2,0
0.3 0.7,3,0.001,1000,l2,l2,0
0.3 0.7,3,0.0316227766,0.001,l2,l2,0
0.3 0.7,3,0.0316227766,0.0316227766,l2,l2,0
0.3 0.7,3,0.0316227766,1,l2,l2,0
0.3 0.7,3,0.0316227766,31.6227766017,l2,l2,0
0.3 0.7,3,0.0316227766,1000,l2,l2,0
0.3 0.7,3,1,0.001,l2,l2,0
0.3 0.7,3,1,0.0316227766,l2,l2,0
0.3 0.7,3,1,1,l2,l2,0
0.3 0.7,3,1,31.6227766017,l2,l2,0
0.3 0.7,3,1,1000,l2,l2,0
0.3 0.7,3,31.6227766017,0.001,l2,l2,0
0.3 0.7,3,31.6227766017,0.0316227766,l2,l2,0
0.3 0.7,3,31.6227766017,1,l2,l2,0
0.3 0.7,3,31.6227766017,31.6227766017,l2,l2,0
0.3 0.7,3,31.6227766017,1000,l2,l2,0
0.3 0.7,3,1000,0.001,l2,l2,0
0.3 0.7,3,1000,0.0316227766,l2,l2,0
0.3 0.7,3,1000,1,l2,l2,0
0.3 0.7,3,1000,31.6227766017,l2,l2,0
0.3 0.7,3,1000,1000,l2,l2,0
0.3 0.7,4,0.001,0.0316227766,l2,l2,0
0.3 0.7,4,0.001,1,l2,l2,0
0.3 0.7,4,0.001,31.6227766017,l2,l2,0
0.3 0.7,4,0.001,1000,l2,l2,0
0.3 0.7,4,0.0316227766,0.0316227766,l2,l2,0
0.3 0.7,4,0.0316227766,1,l2,l2,0
0.3 0.7,4,0.0316227766,31.6227766017,l2,l2,0
0.3 0.7,4,0.0316227766,1000,l2,l2,0
0.3 0.7,4,1,0.0316227766,l2,l2,0
0.3 0.7,4,1,1,l2,l2,0
0.3 0.7,4,1,31.6227766017,l2,l2,0
0.3 0.7,4,1,1000,l2,l2,0
0.3 0.7,4,31.6227766017,0.0316227766,l2,l2,0
0.3 0.7,4,31.6227766017,1,l2,l2,0
0.3 0.7,4,31.6227766017,31.6227766017,l2,l2,0
0.3 0.7,4,31.6227766017,1000,l2,l2,0
0.3 0.7,4,1000,0.0316227766,l2,l2,0
0.3 0.7,4,1000,1,l2,l2,0
0.3 0.7,4,1000,31.6227766017,l2,l2,0
0.3 0.7,4,1000,1000,l2,l2,0
