0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.694306629,5.8986288433
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.694306629,5.8986288433
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6968954886,5.8986396977
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6968954886,5.8986396977
